model_display_name,test_accuracy,test_balanced_acc,test_log_loss,test_ece,class0_precision,class0_recall,class0_f1,class1_precision,class1_recall,class1_f1,class2_precision,class2_recall,class2_f1,class3_precision,class3_recall,class3_f1
KNeighborsClassifier()_Window401Poly1_PCA0.999_NomRMR,0.9095238095238095,0.9088736213654179,0.6694243691858411,0.043567750205510083,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9054054054054054,0.8933333333333333,0.8993288590604027,0.9074074074074074,0.9245283018867925,0.9158878504672897,0.8611111111111112,0.8611111111111112,0.8611111111111112
"KNeighborsClassifier(metric='cosine', n_neighbors=3, weights='distance')_Window401Poly1_PCA0.999_NomRMR",0.9095238095238095,0.9088736213654179,0.6694243691858411,0.043567750205510083,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9054054054054054,0.8933333333333333,0.8993288590604027,0.9074074074074074,0.9245283018867925,0.9158878504672897,0.8611111111111112,0.8611111111111112,0.8611111111111112
"SVC(class_weight='balanced', decision_function_shape='ovo', probability=True)_Window401Poly1_PCA0.999_NomRMR",0.7476190476190476,0.7575822623279556,0.610759481106655,0.10945591597175643,0.6976744186046512,0.6521739130434783,0.6741573033707865,0.8405797101449275,0.7733333333333333,0.8055555555555556,0.6481481481481481,0.660377358490566,0.6542056074766355,0.7727272727272727,0.9444444444444444,0.85
"SVC(C=10, class_weight='balanced', decision_function_shape='ovo',
    probability=True)_Window401Poly1_PCA0.999_NomRMR",0.7476190476190476,0.7575822623279556,0.610759481106655,0.10945591597175643,0.6976744186046512,0.6521739130434783,0.6741573033707865,0.8405797101449275,0.7733333333333333,0.8055555555555556,0.6481481481481481,0.660377358490566,0.6542056074766355,0.7727272727272727,0.9444444444444444,0.85
LinearDiscriminantAnalysis()_Window401Poly1_PCA0.999_NomRMR,0.5619047619047619,0.48267455108923524,1.013800938727054,0.07410734658427004,0.7272727272727273,0.34782608695652173,0.47058823529411764,0.47096774193548385,0.9733333333333334,0.6347826086956522,0.88,0.41509433962264153,0.5641025641025641,0.875,0.19444444444444445,0.3181818181818182
KNeighborsClassifier()_Window201Poly1_PCA0.95_NomRMR,0.919047619047619,0.9205350469419379,0.6687539437046394,0.05428571428571431,0.9777777777777777,0.9565217391304348,0.967032967032967,0.9178082191780822,0.8933333333333333,0.9054054054054054,0.9803921568627451,0.9433962264150944,0.9615384615384616,0.7804878048780488,0.8888888888888888,0.8311688311688312
"KNeighborsClassifier(metric='cosine', n_neighbors=3, weights='distance')_Window201Poly1_PCA0.95_NomRMR",0.919047619047619,0.9205350469419379,0.6687539437046394,0.05428571428571431,0.9777777777777777,0.9565217391304348,0.967032967032967,0.9178082191780822,0.8933333333333333,0.9054054054054054,0.9803921568627451,0.9433962264150944,0.9615384615384616,0.7804878048780488,0.8888888888888888,0.8311688311688312
"SVC(class_weight='balanced', decision_function_shape='ovo', probability=True)_Window201Poly1_PCA0.95_NomRMR",0.3523809523809524,0.4095039194239358,1.3046708651804466,0.08217469223204574,0.35714285714285715,0.32608695652173914,0.3409090909090909,0.4375,0.18666666666666668,0.2616822429906542,0.3181818181818182,0.2641509433962264,0.28865979381443296,0.33695652173913043,0.8611111111111112,0.484375
"SVC(C=10, class_weight='balanced', decision_function_shape='ovo',
    probability=True)_Window201Poly1_PCA0.95_NomRMR",0.3523809523809524,0.4095039194239358,1.3046708651804466,0.08217469223204574,0.35714285714285715,0.32608695652173914,0.3409090909090909,0.4375,0.18666666666666668,0.2616822429906542,0.3181818181818182,0.2641509433962264,0.28865979381443296,0.33695652173913043,0.8611111111111112,0.484375
LinearDiscriminantAnalysis()_Window201Poly1_PCA0.95_NomRMR,0.5047619047619047,0.41861863093610424,1.0698115524197231,0.07198135687817372,0.5909090909090909,0.2826086956521739,0.38235294117647056,0.43902439024390244,0.96,0.602510460251046,0.85,0.32075471698113206,0.4657534246575342,1.0,0.1111111111111111,0.2
