,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf,param_clf__metric,param_clf__n_neighbors,param_clf__weights,param_mrmr,param_pca,param_sg,param_clf__C,param_clf__kernel,param_clf__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,mean_test_score,std_test_score,rank_test_score
10,0.49605709314346313,0.03201188386609265,0.43887656927108765,0.06322722005036711,"KNeighborsClassifier(metric='cosine', weights='distance')",manhattan,5.0,uniform,passthrough,passthrough,"SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=401)",,,,"{'clf': KNeighborsClassifier(metric='cosine', weights='distance'), 'clf__metric': 'manhattan', 'clf__n_neighbors': 5, 'clf__weights': 'uniform', 'mrmr': 'passthrough', 'pca': 'passthrough', 'sg': SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=401)}",0.8357921318447634,0.9234560647604125,0.8942692692692693,0.9359359359359359,0.8835411498454977,0.8928078976705979,0.7381109546441355,0.8582740359056148,0.8702734299845284,0.05830893748439309,18
11,0.5739578604698181,0.02690777626690134,0.40169259905815125,0.05200681097840258,"KNeighborsClassifier(metric='cosine', weights='distance')",manhattan,5.0,distance,passthrough,passthrough,"SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=401)",,,,"{'clf': KNeighborsClassifier(metric='cosine', weights='distance'), 'clf__metric': 'manhattan', 'clf__n_neighbors': 5, 'clf__weights': 'distance', 'mrmr': 'passthrough', 'pca': 'passthrough', 'sg': SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=401)}",0.8776138578770158,0.9234560647604125,0.9106606606606606,0.9451951951951952,0.9015428471950211,0.9175663517768781,0.8243071446732774,0.8908365026786079,0.8988973281021335,0.034136105753332216,7
12,0.5475867986679077,0.04872994205609041,0.41069236397743225,0.06658064549295703,"KNeighborsClassifier(metric='cosine', weights='distance')",manhattan,7.0,uniform,passthrough,passthrough,"SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=401)",,,,"{'clf': KNeighborsClassifier(metric='cosine', weights='distance'), 'clf__metric': 'manhattan', 'clf__n_neighbors': 7, 'clf__weights': 'uniform', 'mrmr': 'passthrough', 'pca': 'passthrough', 'sg': SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=401)}",0.8628389154704944,0.8940679810245028,0.8720133176654916,0.8992742742742743,0.8443769856813335,0.8892482739736743,0.7803179213362279,0.843367889420521,0.8606881948558149,0.036361186664678635,19
13,0.5547248125076294,0.0517975422774864,0.3702956438064575,0.06014160537944912,"KNeighborsClassifier(metric='cosine', weights='distance')",manhattan,7.0,distance,passthrough,passthrough,"SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=401)",,,,"{'clf': KNeighborsClassifier(metric='cosine', weights='distance'), 'clf__metric': 'manhattan', 'clf__n_neighbors': 7, 'clf__weights': 'distance', 'mrmr': 'passthrough', 'pca': 'passthrough', 'sg': SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=401)}",0.8815124933545987,0.9074400487443965,0.9106606606606606,0.9316816816816816,0.8860436523480002,0.9163121711748714,0.8417556572590897,0.8686204146730463,0.8930033474870431,0.02729662090104142,11
14,0.514783501625061,0.02845920520851049,0.4083223342895508,0.09600485689419724,"KNeighborsClassifier(metric='cosine', weights='distance')",manhattan,9.0,uniform,passthrough,passthrough,"SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=401)",,,,"{'clf': KNeighborsClassifier(metric='cosine', weights='distance'), 'clf__metric': 'manhattan', 'clf__n_neighbors': 9, 'clf__weights': 'uniform', 'mrmr': 'passthrough', 'pca': 'passthrough', 'sg': SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=401)}",0.8555289739500266,0.8625527701614659,0.8792868955912435,0.9053129216172695,0.8092657875266571,0.8301159811457294,0.7881339357311897,0.8511839038154828,0.847672646192383,0.03525888601630789,23
15,0.5455688238143921,0.02863703052140056,0.4144490659236908,0.03274480956821702,"KNeighborsClassifier(metric='cosine', weights='distance')",manhattan,9.0,distance,passthrough,passthrough,"SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=401)",,,,"{'clf': KNeighborsClassifier(metric='cosine', weights='distance'), 'clf__metric': 'manhattan', 'clf__n_neighbors': 9, 'clf__weights': 'distance', 'mrmr': 'passthrough', 'pca': 'passthrough', 'sg': SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=401)}",0.8555289739500266,0.9234560647604125,0.9174174174174173,0.9363113113113113,0.8897810854332594,0.8928078976705979,0.8622234935163997,0.8890882509303561,0.8958268118737227,0.026722406698841888,9
16,0.5211467146873474,0.05198042560006115,0.10399678349494934,0.01059796248418449,"KNeighborsClassifier(metric='cosine', weights='distance')",cosine,3.0,uniform,passthrough,passthrough,"SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=401)",,,,"{'clf': KNeighborsClassifier(metric='cosine', weights='distance'), 'clf__metric': 'cosine', 'clf__n_neighbors': 3, 'clf__weights': 'uniform', 'mrmr': 'passthrough', 'pca': 'passthrough', 'sg': SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=401)}",0.8544657097288676,0.9184510597554075,0.8766429472951213,0.9388138138138138,0.8721547634591112,0.892284711220638,0.8634776741184065,0.8860518136833926,0.8877928116343448,0.026544935336989553,15
17,0.5144037902355194,0.044631863624209435,0.11515471339225769,0.014712318296732956,"KNeighborsClassifier(metric='cosine', weights='distance')",cosine,3.0,distance,passthrough,passthrough,"SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=401)",,,,"{'clf': KNeighborsClassifier(metric='cosine', weights='distance'), 'clf__metric': 'cosine', 'clf__n_neighbors': 3, 'clf__weights': 'distance', 'mrmr': 'passthrough', 'pca': 'passthrough', 'sg': SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=401)}",0.8955564416090732,0.9432095138616878,0.8741404447926188,0.9590840840840842,0.893893893893894,0.9236221126953392,0.9079900839054157,0.8948901975217766,0.9115483465454861,0.026610098378226,2
18,0.4904491603374481,0.04074365003833207,0.10607826709747314,0.017442066058438954,"KNeighborsClassifier(metric='cosine', weights='distance')",cosine,5.0,uniform,passthrough,passthrough,"SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=401)",,,,"{'clf': KNeighborsClassifier(metric='cosine', weights='distance'), 'clf__metric': 'cosine', 'clf__n_neighbors': 5, 'clf__weights': 'uniform', 'mrmr': 'passthrough', 'pca': 'passthrough', 'sg': SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=401)}",0.8610446570972886,0.9070646733690212,0.88501001001001,0.9384384384384384,0.8675251338294817,0.8614704961958966,0.8202194449334038,0.8769476137897191,0.8772150584579075,0.03269537865711573,16
19,0.505593866109848,0.05838922635227982,0.12113577127456665,0.01639981333924212,"KNeighborsClassifier(metric='cosine', weights='distance')",cosine,5.0,distance,passthrough,passthrough,"SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=401)",,,,"{'clf': KNeighborsClassifier(metric='cosine', weights='distance'), 'clf__metric': 'cosine', 'clf__n_neighbors': 5, 'clf__weights': 'distance', 'mrmr': 'passthrough', 'pca': 'passthrough', 'sg': SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=401)}",0.8976608187134504,0.9184510597554075,0.8766429472951213,0.9384384384384384,0.893893893893894,0.9163121711748714,0.8875051340726399,0.9201427227743018,0.9061308982647656,0.019149079426607676,4
