,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_mrmr,param_pca,param_sg,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,mean_test_score,std_test_score,rank_test_score
0,4.225854754447937,0.11462374834460298,0.06892019510269165,0.01476123896950317,passthrough,PCA(n_components=0.9),"SavitzkyGolayTransformer(polyorder=1, window_length=201)","{'mrmr': 'passthrough', 'pca': PCA(n_components=0.9), 'sg': SavitzkyGolayTransformer(polyorder=1, window_length=201)}",0.6359649122807017,0.7229784131958046,0.6467772119946033,0.7069623971797885,0.6433825129477303,0.6877065853038393,0.5779767842124822,0.500086901402691,0.6402294648147051,0.0681368889864271,29
1,4.263355135917664,0.1992101814375753,0.05974477529525757,0.018328497751906737,passthrough,PCA(n_components=0.9),"SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=201)","{'mrmr': 'passthrough', 'pca': PCA(n_components=0.9), 'sg': SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=201)}",0.8562599681020733,0.8750326413369892,0.8556219262741003,0.9085335335335335,0.8515091178134656,0.8796500029337558,0.8207426313833637,0.8410164397006502,0.8610457826347415,0.024913913051633464,11
2,4.089815407991409,0.7475797398187135,0.1051500141620636,0.02089493454410441,passthrough,PCA(n_components=0.9),"SavitzkyGolayTransformer(polyorder=1, window_length=401)","{'mrmr': 'passthrough', 'pca': PCA(n_components=0.9), 'sg': SavitzkyGolayTransformer(polyorder=1, window_length=401)}",0.6498538011695907,0.693448883666275,0.6148866257561909,0.7276080428254341,0.6635113374243808,0.6811276379354183,0.566601146120597,0.5162812333864966,0.639164838535548,0.06537597216457504,30
3,4.198951005935669,0.4002500292008061,0.1046597957611084,0.023959878339856917,passthrough,PCA(n_components=0.9),"SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=401)","{'mrmr': 'passthrough', 'pca': PCA(n_components=0.9), 'sg': SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=401)}",0.8080143540669856,0.9116943029986508,0.8775351438394917,0.9135385385385386,0.8607683770727249,0.8687975512918304,0.8152149465078526,0.8266163660900503,0.8602724475507657,0.03831811948012696,13
4,3.8307100534439087,0.662747821937034,0.1379115879535675,0.028626027627470702,passthrough,PCA(n_components=0.9),SavitzkyGolayTransformer(window_length=401),"{'mrmr': 'passthrough', 'pca': PCA(n_components=0.9), 'sg': SavitzkyGolayTransformer(window_length=401)}",0.6201267056530214,0.7213681072376724,0.6536754145449798,0.7530846063454759,0.632512947730339,0.6705783410588902,0.5651220442410374,0.6845019016071647,0.6626212585523226,0.05531196700296923,28
5,4.256358623504639,0.30888239930601324,0.11884024739265442,0.020064404262978106,passthrough,PCA(n_components=0.9),"SavitzkyGolayTransformer(deriv=1, window_length=401)","{'mrmr': 'passthrough', 'pca': PCA(n_components=0.9), 'sg': SavitzkyGolayTransformer(deriv=1, window_length=401)}",0.8380515683147262,0.9045621708665187,0.8720133176654916,0.8887800844322583,0.8607683770727249,0.8880112069471338,0.8362059692151226,0.7843925080767187,0.8590981503238369,0.03623101913108175,15
6,3.7831196784973145,0.3699225794611919,0.0949544906616211,0.02594562137711977,passthrough,PCA(n_components=0.95),"SavitzkyGolayTransformer(polyorder=1, window_length=201)","{'mrmr': 'passthrough', 'pca': PCA(n_components=0.95), 'sg': SavitzkyGolayTransformer(polyorder=1, window_length=201)}",0.7147350699982279,0.7498639944292119,0.6262730121425775,0.754694912303608,0.6980458719589154,0.6953367951651704,0.5694126620900076,0.6857900871058766,0.6867690506491995,0.05810638602548248,27
7,3.9441934525966644,0.27310029549771164,0.0718938410282135,0.012066846460332162,passthrough,PCA(n_components=0.95),"SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=201)","{'mrmr': 'passthrough', 'pca': PCA(n_components=0.95), 'sg': SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=201)}",0.8628389154704944,0.8570309439874657,0.832473778125952,0.9014014014014013,0.8607683770727249,0.8796500029337558,0.8593899743785327,0.863232527706212,0.8645982401345673,0.018429010926678424,9
8,4.007922649383545,0.22115491133174836,0.15622133016586304,0.02908201025319431,passthrough,PCA(n_components=0.95),"SavitzkyGolayTransformer(polyorder=1, window_length=401)","{'mrmr': 'passthrough', 'pca': PCA(n_components=0.95), 'sg': SavitzkyGolayTransformer(polyorder=1, window_length=401)}",0.7036815523657629,0.7876191408800105,0.6453083518300909,0.7732134308221265,0.6804195499847674,0.7266913102153376,0.5886434313207769,0.6473285486443381,0.6941131645079013,0.063280327799705,26
9,4.1212911903858185,0.34451746020786955,0.09893494844436646,0.01811958544118533,passthrough,PCA(n_components=0.95),"SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=401)","{'mrmr': 'passthrough', 'pca': PCA(n_components=0.95), 'sg': SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=401)}",0.8219032429558745,0.9277103190146668,0.8766429472951213,0.9451951951951952,0.8607683770727249,0.8687975512918304,0.8291038353967415,0.8663149715781294,0.8745545549750355,0.04023216651274596,5
10,3.9610393047332764,0.14682807494133895,0.12982577085494995,0.04375752217139295,passthrough,PCA(n_components=0.95),SavitzkyGolayTransformer(window_length=401),"{'mrmr': 'passthrough', 'pca': PCA(n_components=0.95), 'sg': SavitzkyGolayTransformer(window_length=401)}",0.6967924862661705,0.7213681072376724,0.7261663837750795,0.8173499586543065,0.6554598076337207,0.7825500205362905,0.5651220442410374,0.7062783707520549,0.7088858973870416,0.07186855947135835,25
